name,used_by,mf_capacity
MB_Bronx,SYEP LPA BECA CSH DREAM WHEELS,1
MB_Pleasantville,SYEP LPA BECA CSH DREAM WHEELS,4
LPA,LPA,2
BECA,BECA,3
ICHS,ICHS,2
FIHS,FIHS,3
Remote,SYEP LPA BECA CSH DREAM WHEELS,13
